,PRODUCT_ID,MANUFACTURER,DEPARTMENT,BRAND,COMMODITY_DESC,SUB_COMMODITY_DESC,CURR_SIZE_OF_PRODUCT,MEAT_TYPE
19639,939900,3472,MEAT,National,PORK,ENHANCED, ,PORK
19640,939906,4321,MEAT,National,CHICKEN,CHICKEN WINGS, ,POULTRY
19646,939969,4312,MEAT,National,CHICKEN,CHICKEN WINGS, ,POULTRY
19654,940024,781,GROCERY,National,MEAT - SHELF STABLE,MICROWAVABLE CUPS,7.5 OZ,UNKNOWN
19674,940210,2989,MEAT,National,VEAL,ROUND/LEG, ,BOVINE
19697,940441,3483,MEAT,National,PORK,ENHANCED, ,PORK
19726,940655,2082,MEAT-PCKGD,National,BACON,ECONOMY,16 OZ,PORK
19737,940726,69,MEAT-PCKGD,Private,LUNCHMEAT,MISCELLANEOUS,1 LB,UNKNOWN
19743,940770,3845,MEAT,National,BEEF,PRIMAL, ,BOVINE
19765,940996,69,MEAT-PCKGD,Private,LUNCHMEAT,HAM,16 OZ,PORK
19771,941036,3823,MEAT,National,BEEF,NATURAL BEEF, ,BOVINE
19774,941052,69,GROCERY,Private,SEAFOOD - SHELF STABLE,SALMON,7.5 OZ,SEAFOOD
19776,941067,3625,MEAT,National,TURKEY,WHOLE HEN (OVER 15LBS), ,POULTRY
19782,941102,69,MEAT-PCKGD,Private,FROZEN MEAT,FRZN BREADED PREPARED CHICK,12 OZ,POULTRY
19793,941172,4828,MEAT,National,SMOKED MEATS,HAM - STEAKS/SLICES/CUBES, ,PORK
19794,941176,69,GROCERY,Private,MEAT - SHELF STABLE,MICROWAVABLE CUPS,7.5 OZ,UNKNOWN
19800,941203,3880,DELI,National,DELI MEATS,MEAT:HAM BULK, ,PORK
19803,941295,4207,DELI,National,DELI MEATS,MEAT:HAM BULK, ,PORK
19823,941453,3015,MEAT,National,PORK,SHLDR - STK/CHP/SLC, ,PORK
19849,941722,69,SEAFOOD-PCKGD,Private,SEAFOOD-FRESH,SEAFOOD-FRE-NON RW-ALL,7.5 OZ,SEAFOOD
19860,941820,3678,MEAT,National,SMOKED MEATS,OFFALS, ,UNKNOWN
19865,941839,69,SEAFOOD-PCKGD,Private,SEAFOOD-FRESH,SEAFOOD-FRE-NON RW-ALL,7.5 OZ,SEAFOOD
19895,942127,1683,MEAT-PCKGD,National,MEAT - MISC,DRUMS (IQF),4 LB,POULTRY
19897,942152,4837,MEAT,National,SMOKED MEATS,MARINATED, ,UNKNOWN
19908,942251,914,SEAFOOD-PCKGD,National,FROZEN - BOXED(GROCERY),SEAFOOD-FRZ-BRD SHRIMP,9 OZ,SEAFOOD
19927,942389,2869,MEAT,National,BEEF,CHOICE BEEF, ,BOVINE
19976,942792,1089,MEAT-PCKGD,National,LUNCHMEAT,HAM,5 OZ,PORK
19982,942855,3624,MEAT,National,TURKEY,WHOLE HEN (UNDER 15LBS), ,POULTRY
19991,942946,4664,MEAT,National,RW FRESH PROCESSED MEAT,RW FRESH PROCESSED MEAT, ,UNKNOWN
19992,942974,397,MEAT-PCKGD,National,FROZEN MEAT,FRZN BREADED PREPARED CHICK,9 OZ,POULTRY
19997,943001,2791,MEAT,National,TURKEY,TURKEY BREAST BONELESS, ,POULTRY
20000,943013,4866,MEAT,National,PORK,BACON - BELLY/JOWL, ,PORK
20012,943104,2833,MEAT,National,BEEF,NATURAL BEEF, ,BOVINE
20032,943241,69,SEAFOOD-PCKGD,Private,SEAFOOD - FROZEN,FRZN GRILLED PORTIONS,7.6 OZ,SEAFOOD
20083,943673,4206,DELI,National,DELI MEATS,MEAT:HAM BULK, ,PORK
20134,944142,397,MEAT-PCKGD,National,FROZEN MEAT,FRZN BREADED PREPARED CHICK,20OZ,POULTRY
20139,944172,69,SEAFOOD-PCKGD,Private,SEAFOOD - FROZEN,SEAFOOD-FRZ-RAW FILLETS,5 LB,SEAFOOD
20146,944256,608,GROCERY,National,FRZN MEAT/MEAT DINNERS,FRZN BREADED PREPARED CHICK,11 OZ,POULTRY
20147,944257,69,MEAT-PCKGD,Private,DINNER SAUSAGE,FRESH,16 OZ,PORK
20151,944296,2799,MEAT,National,EXOTIC GAME/FOWL,DUCKS, ,POULTRY
20174,944488,1161,MEAT-PCKGD,National,MEAT - MISC,MEAT SNACKS,4 OZ,UNKNOWN
20182,944534,2970,MEAT,National,BEEF,CUBED MEATS, ,BOVINE
20185,944548,3475,MEAT,National,PORK,ENHANCED, ,PORK
20190,944588,1094,MEAT-PCKGD,National,LUNCHMEAT,HAM,12 OZ,PORK
20206,944836,5154,MEAT,National,BEEF,ANGUS,1 LB,BOVINE
20220,945001,3399,SEAFOOD,National,SEAFOOD-FRESH,SEAFOOD-FRE-MISC, ,SEAFOOD
20235,945164,4296,MEAT,National,CHICKEN,INTERNAL, ,POULTRY
20241,945244,69,MEAT-PCKGD,Private,DINNER SAUSAGE,FRESH,18 OZ,PORK
20242,945245,2806,MEAT,National,BEEF,SELECT BEEF, ,BOVINE
20253,945323,2929,MEAT,National,BEEF,CHOICE BEEF, ,BOVINE
20331,945901,4314,MEAT,National,CHICKEN,CHICKEN BREAST BONELESS, ,POULTRY
20335,945909,69,DELI,Private,CHICKEN/POULTRY,CHIX: CHICKEN DINNERS/SNACKS H, ,POULTRY
20394,946562,2976,MEAT,National,BEEF,STIR FRY/STRIPS/FAJITAS, ,BOVINE
20406,946726,3276,SEAFOOD,National,SEAFOOD-FRESH,SEAFOOD-FRE-CATFISH, ,SEAFOOD
20416,946818,2209,MEAT-PCKGD,National,DINNER SAUSAGE,FRESH,48 OZ,PORK
20420,946839,69,MEAT,Private,BEEF,PRIMAL,1 LB,BOVINE
20427,946875,2978,MEAT,National,BEEF,VARIETY MEAT - INTERNAL, ,BOVINE
20441,946995,1314,MEAT,National,BEEF,STUFFED/MIXED BEEF,6 OZ,BOVINE
20451,947067,3013,MEAT,National,PORK,SHLDR - STK/CHP/SLC, ,PORK
20455,947094,1858,DELI,National,DELI MEATS,MEAT: PATES/MOUSSE,8 OZ,UNKNOWN
20456,947095,1171,GROCERY,National,MEAT - SHELF STABLE,POTTED MEATS AND SPREADS,4.25OZ,UNKNOWN
20468,947201,397,MEAT-PCKGD,National,FROZEN MEAT,FRZN BREADED PREPARED CHICK,11.5 OZ,POULTRY
20487,947316,1094,MEAT-PCKGD,National,LUNCHMEAT,BOLOGNA,12 OZ,UNKNOWN
20534,947741,665,MEAT-PCKGD,National,DINNER SAUSAGE,SMOKED/COOKED,16 OZ,PORK
20552,947858,3455,MEAT,National,PORK,ENHANCED, ,PORK
20593,948272,2908,MEAT,National,BEEF,LOIN - STK/CHP/SLC, ,BOVINE
20596,948298,3738,DELI,National,DELI MEATS,MEAT: TURKEY BULK, ,POULTRY
20620,948505,3293,SEAFOOD,National,SEAFOOD-FRESH,SEAFOOD-FRE-RAW FINFISH-OTHER, ,SEAFOOD
20639,948650,2872,MEAT,National,BEEF,CHOICE BEEF, ,BOVINE
20654,948769,69,SEAFOOD-PCKGD,Private,SEAFOOD - FROZEN,SEAFOOD-FRZ-MISC,5.8 OZ,SEAFOOD
20664,948832,1719,MEAT-PCKGD,National,HOT DOGS,BETTER FOR YOU,1 LB,UNKNOWN
20694,949129,2859,MEAT,National,BEEF,EXTERNAL, ,BOVINE
20709,949252,1089,MEAT-PCKGD,National,DINNER SAUSAGE,COCKTAILS,14 OZ,PORK
20760,949766,2012,MEAT-PCKGD,National,HOT DOGS,KOSHER/SPECIALTY,16 OZ,UNKNOWN
20781,949937,935,GROCERY,National,SEAFOOD - SHELF STABLE,MISC.CND SEAFOODS (CRABETC),4 OZ,SEAFOOD
20786,949965,1089,MEAT-PCKGD,National,DINNER SAUSAGE,SMOKED/COOKED,16 OZ,PORK
20803,950132,4830,MEAT,National,SMOKED MEATS,HAM - BONE-IN HALF/PORT, ,PORK
20808,950161,472,GROCERY,National,WAREHOUSE SNACKS,MEAT SNACKS,.97 OZ,UNKNOWN
20857,950575,3663,MEAT,National,BEEF,PRIMAL,1 LB,BOVINE
20863,950638,69,SEAFOOD-PCKGD,Private,SEAFOOD - FROZEN,SEAFOOD-FRZ-IQF RAW SHRIMP RW,1 LB,SEAFOOD
20868,950673,3066,MEAT,National,PORK,VARIETY MEAT - EXTERNAL, ,PORK
20876,950713,5599,GROCERY,National,SEAFOOD - SHELF STABLE,MISC.CND SEAFOODS (CRABETC),3.25 OZ,SEAFOOD
20890,950894,1764,MEAT-PCKGD,National,BREAKFAST SAUSAGE/SANDWICHES,ROLLS - PORK,1 LB,PORK
20892,950898,2277,MEAT,National,BEEF,EXTERNAL,16 OZ,BOVINE
20916,951098,4542,DELI,National,CHICKEN/POULTRY,CHIX: VALUE ADDED (HOT), ,POULTRY
20933,951194,1858,MEAT-PCKGD,National,MEAT - MISC,MEAT SNACKS,5.6 OZ,UNKNOWN
20944,951246,4860,MEAT-PCKGD,National,DINNER SAUSAGE,GROUND PORK, ,PORK
20964,951483,4835,MEAT,National,PORK,SAUSAGE, ,PORK
20971,951561,2082,MEAT-PCKGD,National,BREAKFAST SAUSAGE/SANDWICHES,OTHER,20 OZ,PORK
21000,951821,2186,MEAT-PCKGD,National,LUNCHMEAT,MISCELLANEOUS,8 OZ,UNKNOWN
21017,951973,1094,MEAT-PCKGD,National,LUNCHMEAT,POULTRY,10 OZ,POULTRY
21040,952206,4584,MEAT,National,TURKEY,WHOLE - TOM (16 LBS & OVER FRZ, ,POULTRY
21058,952408,3723,DELI,National,DELI MEATS,MEAT:HAM BULK, ,PORK
21068,952532,4080,DELI,National,DELI MEATS,MEAT:HAM BULK, ,PORK
21071,952556,1441,GROCERY,National,SEAFOOD - SHELF STABLE,MISC.CND SEAFOODS (CRABETC),2 OZ,SEAFOOD
21086,952695,2924,MEAT,National,BEEF,CHOICE BEEF, ,BOVINE
21097,952806,1089,MEAT-PCKGD,National,FROZEN MEAT,CORN DOGS,16 OZ,UNKNOWN
21098,952826,4807,MEAT,National,SMOKED MEATS,MISCELLANEOUS, ,UNKNOWN
21119,952993,2889,MEAT,National,BEEF,CHOICE BEEF, ,BOVINE
21168,953454,2847,MEAT,National,BEEF,GRND/PATTY - BEEF, ,BOVINE
21180,953561,4223,DELI,National,DELI MEATS,MEAT: TURKEY BULK, ,POULTRY
21187,953609,781,MEAT-PCKGD,National,BACON,PRE-COOKED,2.1 OZ,PORK
21246,954110,69,SEAFOOD-PCKGD,Private,SEAFOOD-FRESH,SEAFOOD-FRE-NON RW-ALL,7.5 OZ,SEAFOOD
21265,954284,748,SEAFOOD-PCKGD,National,SEAFOOD-FRESH,SEAFOOD-FRE-NON RW-ALL,10 OZ,SEAFOOD
21300,954545,397,MEAT-PCKGD,National,FROZEN MEAT,FRZN BREADED PREPARED CHICK,24.24 OZ,POULTRY
21310,954662,1138,MEAT-PCKGD,National,LUNCHMEAT,PEPPERONI/SALAMI,3 OZ,PORK
21334,954889,2998,MEAT,National,LAMB,ROUND/LEG, ,OVINE
21344,955012,2186,MEAT-PCKGD,National,LUNCHMEAT,POULTRY,2.5 OZ,POULTRY
21360,955123,2906,MEAT,National,BEEF,LOIN - STK/CHP/SLC, ,BOVINE
21361,955148,3016,MEAT,National,PORK,RIBS - COUNTRY/WESTERN STYLE, ,PORK
21370,955259,397,GROCERY,National,FROZEN CHICKEN,FRZN BREADED PREPARED CHICK,4 LB,POULTRY
21373,955275,2082,MEAT-PCKGD,National,DINNER SAUSAGE,FRESH,16 OZ,PORK
21410,955619,2888,MEAT,National,BEEF,CHOICE BEEF, ,BOVINE
21436,955823,4865,MEAT,National,PORK,RIBS - SPARE RIB/BACK RIB, ,PORK
21451,955914,1425,MEAT-PCKGD,National,HEAT/SERVE,OTHER - FULLY COOKED,10 LB,UNKNOWN
21453,955920,3038,MEAT,National,PORK,LOIN - CHOPS BONE-IN, ,PORK
21458,955960,4293,MEAT,National,TURKEY,GROUND TURKEY, ,POULTRY
21467,956100,4311,MEAT,National,CHICKEN,CHICKEN WINGS, ,POULTRY
21487,956274,1094,MEAT-PCKGD,National,LUNCHMEAT,BOLOGNA,12 OZ,UNKNOWN
21497,956338,4292,MEAT,National,TURKEY,GROUND TURKEY, ,POULTRY
21512,956446,2819,MEAT,National,BEEF,LOIN - STK/CHP/SLC, ,BOVINE
21515,956486,4311,MEAT,National,CHICKEN,CHICKEN WINGS, ,POULTRY
21521,956533,4473,DELI,National,DELI MEATS,MEAT:HAM BULK, ,PORK
21528,956599,2937,MEAT,National,BEEF,CHOICE BEEF, ,BOVINE
21594,957317,1094,MEAT-PCKGD,National,LUNCHMEAT,LUNCH COMBO,11.8 OZ,UNKNOWN
21600,957345,1230,MEAT-PCKGD,National,LUNCHMEAT,POULTRY,5 OZ,POULTRY
21632,957695,3018,MEAT,National,PORK,RIBS - COUNTRY/WESTERN STYLE, ,PORK
21637,957741,1138,MEAT-PCKGD,National,LUNCHMEAT,BOLOGNA,16 OZ,UNKNOWN
21639,957763,3026,MEAT,National,PORK,LOIN - ROAST, ,PORK
21646,957828,4728,MEAT,National,BEEF,GRND/PATTY - BEEF, ,BOVINE
21657,957949,93,MEAT-PCKGD,National,LUNCHMEAT,LOAVE,12 OZ,UNKNOWN
21673,958102,3700,DELI,National,DELI MEATS,MEAT: LUNCHMEAT BULK, ,UNKNOWN
21676,958114,2982,MEAT,National,BEEF,VARIETY MEAT - INTERNAL, ,BOVINE
21682,958154,4274,MEAT,National,TURKEY,WHOLE HEN (UNDER 15LBS), ,POULTRY
21715,958482,3018,MEAT,National,PORK,RIBS - COUNTRY/WESTERN STYLE, ,PORK
21726,958594,2899,MEAT,National,BEEF,CHOICE BEEF, ,BOVINE
21754,958839,3342,SEAFOOD,National,SEAFOOD-FRESH,SEAFOOD-FRE-RAW FINFISH-OTHER, ,SEAFOOD
21813,959398,4323,MEAT,National,RW FRESH PROCESSED MEAT,SEASONED POULTRY, ,POULTRY
21815,959409,69,MEAT-PCKGD,Private,LUNCHMEAT,BOLOGNA,16 OZ,UNKNOWN
21817,959430,3984,MEAT,National,CHICKEN,WHOLE/CUTUP, ,POULTRY
21819,959447,3007,MEAT,National,LAMB,THIN MEATS, ,OVINE
21851,959830,69,MEAT-PCKGD,Private,MEAT - MISC,THIGHS (IQF),3 LB,POULTRY
21875,960041,69,DELI,Private,CHICKEN/POULTRY,CHIX: CHICKEN DINNERS/SNACKS C, ,POULTRY
21879,960075,1719,MEAT-PCKGD,National,LUNCHMEAT,CHICKEN-FULLY COOKED,6 OZ,POULTRY
21890,960143,2924,MEAT,National,BEEF,CHOICE BEEF, ,BOVINE
21921,960421,69,MEAT-PCKGD,Private,FROZEN MEAT,FRZN BREADED PREPARED CHICK,12 OZ,POULTRY
21949,960613,1089,MEAT-PCKGD,National,DINNER SAUSAGE,COCKTAILS,1 LB,PORK
21972,960782,4784,MEAT,National,PORK,INTERNAL FRESH, ,PORK
22012,961117,3059,MEAT,National,PORK,RIBS, ,PORK
22026,961270,1178,GROCERY,National,SEAFOOD - SHELF STABLE,TUNA,3 OZ,SEAFOOD
22035,961350,4321,MEAT,National,CHICKEN,CHICKEN WINGS, ,POULTRY
22076,961704,4864,MEAT,National,PORK,OFFALS, ,PORK
22091,961783,4674,MEAT,National,CHICKEN,SEASONED POULTRY, ,POULTRY
22114,961927,4724,MEAT,National,BEEF,GRND/PATTY - CHUCK, ,BOVINE
22122,961979,69,DELI,Private,CHICKEN/POULTRY,CHIX: ROTISSERIE (HOT), ,POULTRY
22130,962012,4494,DELI,National,DELI MEATS,MEAT:HAM BULK, ,PORK
22144,962185,69,MEAT-PCKGD,Private,BREAKFAST SAUSAGE/SANDWICHES,LINKS - RAW,12 OZ,PORK
22213,962777,2065,MEAT,National,CHICKEN,GROUND CHICKEN,16 OZ,POULTRY
22306,963581,3432,MEAT,National,BEEF,GRND/PATTY - CHUCK, ,BOVINE
22310,963625,2889,MEAT,National,BEEF,CHOICE BEEF, ,BOVINE
22328,963756,1923,MEAT-PCKGD,National,BREAKFAST SAUSAGE/SANDWICHES,OTHER,1 LB,PORK
22342,963875,4579,MEAT,National,TURKEY,WHOLE - HENS (15 LBS & UNDER F, ,POULTRY
22345,963880,204,SEAFOOD-PCKGD,National,SEAFOOD-FRESH,SEAFOOD-FRE-NON RW-ALL,8 OZ,SEAFOOD
22365,964092,4808,MEAT,National,SMOKED MEATS,BACON - BELLY/JOWL, ,PORK
22382,964244,935,GROCERY,National,SEAFOOD - SHELF STABLE,MISC.CND SEAFOODS (CRABETC),3.75 OZ,SEAFOOD
22418,964573,781,GROCERY,National,MEAT - SHELF STABLE,MICROWAVE,10 OZ,UNKNOWN
22425,964652,3052,MEAT,National,PORK,LOIN - CHOPS BONELESS, ,PORK
22445,964853,2326,GROCERY,National,SEAFOOD - SHELF STABLE,TUNA,2.6 OZ,SEAFOOD
22455,964968,69,MEAT-PCKGD,Private,FROZEN MEAT,CORN DOGS,1 LB,UNKNOWN
22466,965029,3835,MEAT,National,BEEF,NATURAL BEEF, ,BOVINE
22469,965050,2326,GROCERY,National,SEAFOOD - SHELF STABLE,TUNA,4.5 OZ,SEAFOOD
22473,965091,2065,MEAT-PCKGD,National,HEAT/SERVE,CHICKEN-FULLY COOKED,6.05 OZ,POULTRY
22487,965210,69,MEAT-PCKGD,Private,LUNCHMEAT,PEPPERONI/SALAMI,3.5 OZ,PORK
22491,965228,544,MEAT-PCKGD,National,MEAT - MISC,MEAT SNACKS,.8 OZ,UNKNOWN
22512,965422,4681,MEAT,National,CHICKEN,SEASONED POULTRY, ,POULTRY
22528,965562,286,GROCERY,National,SEAFOOD - SHELF STABLE,SARDINES,3.75 OZ,SEAFOOD
22530,965570,3992,MEAT,National,CHICKEN,CHICKEN DRUMS, ,POULTRY
22546,965693,4089,DELI,National,DELI MEATS,MEAT: TURKEY BULK, ,POULTRY
22555,965729,2291,SEAFOOD-PCKGD,National,SEAFOOD-FRESH,SEAFOOD-FRE-NON RW-ALL,8 OZ,SEAFOOD
22560,965788,2918,MEAT,National,BEEF,CHOICE BEEF, ,BOVINE
22562,965803,1138,MEAT-PCKGD,National,HOT DOGS,PREMIUM - MEAT,16 OZ,UNKNOWN
22567,965848,1719,MEAT-PCKGD,National,LUNCHMEAT,BOLOGNA,8 OZ,UNKNOWN
22598,966077,3312,SEAFOOD,National,SEAFOOD-FRESH,SEAFOOD-FRE-SALMON, ,SEAFOOD
22607,966123,397,MEAT-PCKGD,National,FROZEN MEAT,FRZN BREADED PREPARED CHICK,11.6 OZ,POULTRY
22623,966348,1238,MEAT,National,SMOKED MEATS,HAM- NET WEIGHT,1 LB,PORK
22626,966365,4297,MEAT,National,CHICKEN,CHICKEN BREAST BONE IN, ,POULTRY
22642,966524,3454,MEAT,National,PORK,ENHANCED, ,PORK
22682,966866,2082,MEAT-PCKGD,National,DINNER SAUSAGE,FRESH,19 OZ,PORK
22704,967091,2892,MEAT,National,BEEF,RIB - STK/CHP/SLC, ,BOVINE
22737,967454,4637,MEAT,National,TURKEY,MARINATED, ,POULTRY
22754,967611,472,MEAT-PCKGD,National,MEAT - MISC,MEAT SNACKS,4.5 OZ,UNKNOWN
22789,967948,2920,MEAT,National,BEEF,CHOICE BEEF, ,BOVINE
22793,968003,2920,MEAT,National,BEEF,CHOICE BEEF, ,BOVINE
22794,968004,4829,MEAT,National,SMOKED MEATS,HAM - BONE-IN WHOLE, ,PORK
22803,968048,3312,SEAFOOD,National,SEAFOOD-FRESH,SEAFOOD-FRE-SALMON, ,SEAFOOD
22806,968072,2832,MEAT,National,BEEF,NATURAL BEEF, ,BOVINE
22834,968359,1107,MEAT-PCKGD,National,LUNCHMEAT,POULTRY,1 LB,POULTRY
22839,968381,2946,MEAT,National,BEEF,CHOICE BEEF, ,BOVINE
22861,968595,4661,MEAT,National,TURKEY,MARINATED, ,POULTRY
22862,968599,69,SEAFOOD-PCKGD,Private,SEAFOOD - FROZEN,SEAFOOD-FRZ-MISC,4 OZ,SEAFOOD
22873,968687,1094,MEAT-PCKGD,National,LUNCHMEAT,LUNCH COMBO,11.55OZ,UNKNOWN
22888,968790,3390,SEAFOOD,National,SEAFOOD-FRESH,SEAFOOD-FRE-MISC, ,SEAFOOD
22919,969138,2889,MEAT,National,BEEF,CHOICE BEEF, ,BOVINE
22947,969419,69,MEAT-PCKGD,Private,LUNCHMEAT,LOAVE,16 OZ,UNKNOWN
22983,969725,69,SEAFOOD-PCKGD,Private,SEAFOOD - FROZEN,SEAFOOD-FRZ-IQF COOKED SHRIMP,17 OZ,SEAFOOD
23002,969836,1094,MEAT-PCKGD,National,LUNCHMEAT,LUNCH COMBO,11.5OZ,UNKNOWN
23006,969866,4180,MEAT,National,CHICKEN,CHICKEN WINGS, ,POULTRY
23015,969941,1089,MEAT-PCKGD,National,HOT DOGS,BETTER FOR YOU,1 LB,UNKNOWN
23017,969945,69,MEAT-PCKGD,Private,LUNCHMEAT,POULTRY,16 OZ,POULTRY
23043,970152,69,DELI,Private,CHICKEN/POULTRY,CHIX:FRD 8PC/CUT UP (HOT), ,POULTRY
23044,970154,2782,MEAT,National,TURKEY,TURKEY DRUMS, ,POULTRY
23060,970342,3046,MEAT,National,PORK,LOIN - WH/HALF BONELESS, ,PORK
23063,970369,1138,MEAT-PCKGD,National,DINNER SAUSAGE,SMOKED/COOKED,16 OZ,PORK
23070,970455,2209,MEAT-PCKGD,National,DINNER SAUSAGE,SMOKED/COOKED,1 LB,PORK
23071,970461,3466,MEAT,National,PORK,RIBS, ,PORK
23085,970605,69,MEAT-PCKGD,Private,FROZEN MEAT,CORN DOGS,20OZ,UNKNOWN
23096,970691,1524,MEAT-PCKGD,National,BACON,ECONOMY,1 LB,PORK
23105,970736,2896,MEAT,National,VEAL,RIBS, ,BOVINE
23107,970747,4298,MEAT,National,CHICKEN,CHICKEN BREAST BONE IN, ,POULTRY
23157,971152,3050,MEAT,National,PORK,LOIN - CHOPS BONELESS, ,PORK
23169,971270,1858,MEAT-PCKGD,National,MEAT - MISC,MEAT SNACKS,8 OZ,UNKNOWN
23172,971285,665,MEAT-PCKGD,National,HOT DOGS,ECONOMY - MEAT, ,UNKNOWN
23182,971380,2950,MEAT,National,BEEF,CHOICE BEEF, ,BOVINE
23192,971486,274,SEAFOOD-PCKGD,National,SEAFOOD - FROZEN,FRZN BRD STICK/PORTON,12.25 OZ,SEAFOOD
23204,971599,2266,SEAFOOD-PCKGD,National,SEAFOOD-FRESH,SEAFOOD-FRE-NON RW-ALL,12 OZ,SEAFOOD
23237,971843,2933,MEAT,National,BEEF,CHOICE BEEF, ,BOVINE
23240,971887,3278,SEAFOOD,National,SEAFOOD-FRESH,SEAFOOD-FRE-CATFISH, ,SEAFOOD
23247,971962,5252,MEAT-PCKGD,National,MISCELLANEOUS,FROZEN PACKAGE MEAT,80 OZ,UNKNOWN
23256,972041,69,MEAT-PCKGD,Private,LUNCHMEAT,POULTRY,6 OZ,POULTRY
23265,972143,4312,MEAT,National,CHICKEN,CHICKEN WINGS, ,POULTRY
23286,972311,2853,MEAT,National,BEEF,LEAN,80 LB,BOVINE
23312,972511,3413,MEAT,National,BEEF,RIB - STK/CHP/SLC, ,BOVINE
23317,972558,4506,DELI,National,DELI MEATS,MEAT:HAM BULK, ,PORK
23328,972665,1923,MEAT-PCKGD,National,BREAKFAST SAUSAGE/SANDWICHES,OTHER,1 LB,PORK
23343,972848,69,SEAFOOD-PCKGD,Private,SEAFOOD-FRESH,SEAFOOD-FRE-NON RW-ALL,7.5 OZ,SEAFOOD
23348,972892,2906,MEAT,National,BEEF,LOIN - STK/CHP/SLC, ,BOVINE
23358,973005,2780,MEAT,National,TURKEY,TURKEY WINGS, ,POULTRY
23381,973238,2982,MEAT,National,BEEF,VARIETY MEAT - INTERNAL, ,BOVINE
23384,973283,2876,MEAT,National,BEEF,CHOICE BEEF, ,BOVINE
23415,973613,4370,DELI,National,DELI MEATS,MEAT: LUNCHMEAT BULK, ,UNKNOWN
23451,973916,69,SEAFOOD-PCKGD,Private,SEAFOOD - FROZEN,SEAFOOD-FRZ-IQF RAW SHRIMP RW,1 LB,SEAFOOD
23456,973982,3835,MEAT,National,BEEF,NATURAL BEEF, ,BOVINE
23474,974156,69,DELI,Private,CHICKEN/POULTRY,CHIX: CHICKEN DINNERS/SNACKS H, ,POULTRY
23507,974500,1683,GROCERY,National,FRZN MEAT/MEAT DINNERS,FRZN BREADED PREPARED CHICK,12 OZ,POULTRY
23512,974548,2792,MEAT,National,TURKEY,TURKEY BREAST BONELESS, ,POULTRY
23540,974785,93,MEAT-PCKGD,National,HOT DOGS,ECONOMY - MEAT,16 OZ,UNKNOWN
23551,974960,2326,NUTRITION,National,PREPARED/PKGD FOODS,MEAT - CAN/POUCH,5OZ,UNKNOWN
23557,975016,4446,DELI,National,CHICKEN/POULTRY,CHIX:VALUE ADDED (COLD), ,POULTRY
23564,975134,4466,DELI,National,DELI MEATS,MEAT: BEEF BULK, ,BOVINE
23567,975155,1178,GROCERY,National,SEAFOOD - SHELF STABLE,TUNA,6 OZ,SEAFOOD
23571,975180,1089,MEAT-PCKGD,National,DINNER SAUSAGE,COCKTAILS,14 OZ,PORK
23574,975217,4485,DELI,National,DELI MEATS,MEAT: BEEF BULK, ,BOVINE
23631,975725,2836,MEAT,National,BEEF,SELECT BEEF, ,BOVINE
23648,975904,2916,MEAT,National,BEEF,CHOICE BEEF, ,BOVINE
23679,976200,4661,MEAT-PCKGD,National,BREAKFAST SAUSAGE/SANDWICHES,SAUSAGE, ,PORK
23693,976315,2930,MEAT,National,BEEF,CHOICE BEEF, ,BOVINE
23709,976484,4304,MEAT,National,CHICKEN,MIXED PACKS, ,POULTRY
23714,976526,4309,MEAT,National,CHICKEN,CHICKEN BREAST BONE IN, ,POULTRY
23729,976652,2515,GROCERY,National,SEAFOOD - SHELF STABLE,TUNA,12 OZ,SEAFOOD
23753,976841,2852,MEAT,National,BEEF,PRIMAL, ,BOVINE
23770,977014,5,SEAFOOD,Private,MEAT SUPPLIES,SEAFOOD-FRE-MISC, ,SEAFOOD
23838,977613,4757,MEAT,National,PORK,MARINATED PORK, ,PORK
23844,977658,1089,MEAT-PCKGD,National,HOT DOGS,PREMIUM - BEEF,1LB,BOVINE
23845,977660,3417,MEAT,National,BEEF,NATURAL BEEF, ,BOVINE
23848,977677,4863,MEAT,National,SMOKED MEATS,MARINATED PORK, ,PORK
23858,977780,4499,DELI,National,DELI MEATS,MEAT: TURKEY BULK, ,POULTRY
23898,978077,69,MEAT-PCKGD,Private,BREAKFAST SAUSAGE/SANDWICHES,ROLLS - PORK,16 OZ,PORK
23901,978129,69,MEAT-PCKGD,Private,MEAT - MISC,DRUMS (IQF),64 OZ,POULTRY
23906,978152,397,DELI,National,CHICKEN/POULTRY,CHIX:VALUE ADDED (COLD), ,POULTRY
23921,978294,3719,DELI,National,DELI MEATS,MEAT: BEEF BULK, ,BOVINE
23926,978330,4749,MEAT,National,EXOTIC GAME/FOWL,KABOBS, ,POULTRY
23932,978376,2921,MEAT,National,BEEF,CHOICE BEEF, ,BOVINE
23938,978451,2879,MEAT,National,BEEF,CHOICE BEEF, ,BOVINE
23940,978490,4653,MEAT,National,TURKEY,TURKEY DRUMS, ,POULTRY
23957,978751,3037,MEAT,National,PORK,LOIN - CHOPS BONE-IN, ,PORK
23981,978974,1719,MEAT-PCKGD,National,LUNCHMEAT,BOLOGNA,1 LB,UNKNOWN
23985,978998,3693,DELI,National,DELI MEATS,MEAT: LUNCHMEAT BULK, ,UNKNOWN
23997,979098,2947,MEAT,National,BEEF,CHOICE BEEF, ,BOVINE
24005,979174,3716,DELI,National,DELI MEATS,MEAT: BEEF BULK, ,BOVINE
